년도,전체형법범죄,살인,강도,성폭력,폭행,절도
2012,2069,2.0,5.3,42.5,255.2,583.8
2013,2098,1.9,4.0,53.4,250.9,576.7
2014,2003,1.8,3.2,58.8,288.9,525.7
2015,2054,1.9,2.9,60.9,316.8,483.0
2016,1964,1.9,2.3,57.3,336.0,397.5
2017,1867,1.7,1.9,63.9,322.2,358.9
2018,1916,1.6,1.6,62.2,318.9,344.0
2019,2012,1.6,1.6,61.9,312.8,362.5
2020,2015,1.6,1.3,58.1,277.0,347.4
2021,1773,1.3,1.0,63.5,230.9,322.2
2022,1943,1.4,1.0,80.2,250.2,353.6
2023,1986,1.5,1.2,74.8,238.1,367.3
